stop,pagerank
CPWD Quarters,0.0004528057156818671
Vaderahalli,0.00045254458344471944
Nagarabhavi Maruthinagara,0.0004510369158175706
MEI Colony,0.00045067321491736696
Kodigehalli gate,0.00045053391103900187
Kothnuru Bagalur Road,0.00045053391103900187
Shanthi Layout,0.00045037267451565935
Adarsha Nagara,0.0004498780804808284
Global Village,0.0004498288668407576
Machohalli,0.0004497742481905546
Shampura,0.0004494834669978079
St John Hospital,0.00044873626307092467
K NarayanaPura Cross,0.00044851246954679704
Narasipura,0.00044817039735788554
Kamalanagara BEML Layout,0.00044688761696272535
Jn of Marathalli Bridge,0.00044603781429530484
Bhuvaneshwari Nagara Mahalakshmi Temple,0.000444814568651182
Kasthurinagara,0.00044304009041841897
Kempegowda Swimming Pool,0.00044304009041841897
Amarajyothi Badavane,0.0004416651717497619
Whitefield TTMC,0.00044098923737524503
Nagarabhavi Circle,0.0004390003355144739
Gollarahatti,0.00043839484058916136
Chamundi Nagara,0.00043815524617408336
Koramangala 8th Block,0.000437081662086543
Chikkalasandra Ramanjaneya Layout,0.0004344498217171422
Mathikere,0.00043325047647427273
MTR,0.0004326186062249063
HBR Layout 5th Block,0.0004320830315610164
RBI Layout,0.00043019066669820424
Vidyanikethan Public School,0.0004289732025833196
JP Nagar 7th Phase Brigade Gardenia,0.0004276541375735417
Srinagar,0.0004271395767707273
Vaidehi Hospital,0.00042707718617484116
Kittaganur,0.0004254517444373066
RR Kalyanamantapa Okalipuram,0.00042485526946280724
KADUJAKKASANDRA,0.0004247049044405289
Bannerughatta Circle,0.0004247049044405289
Marenahalli,0.0004247049044405289
RTNagara,0.00042302725461014316
Depot 34,0.00042257203128126617
NITTE Institute of Technology,0.0004221597798322968
Dommasandra,0.0004213721617750268
Mukkodlu,0.0004213721617750268
Bellandur Coffee Day,0.0004210929312118952
Neelasandra,0.0004204172651250277
Arybhata ISRO Head Office,0.0004183275567715138
Hope Form,0.0004182605246475083
Jaraganahalli House Building Co-Op-Society Layout,0.0004174162953257233
BMTC Depot-6,0.0004171736084072035
Karenahalli,0.0004165972840077313
Devashettyhalli,0.0004165972840077313
Cholanayakanahalli,0.0004165972840077313
Ganagaluru,0.0004165972840077313
Magadi,0.0004165972840077313
Mayasandra,0.0004165972840077313
Kengeri Housing Board Quarters,0.0004161708646946569
Yeshwanthapura New Railway Station,0.00041514832597051236
Jai Bharath Nagara,0.0004146715876008091
Rajarajeshwarinagara BEML Layout,0.0004135694853272965
HUNASOORU,0.0004132502257105811
Bommasandra,0.0004121389347362506
Veerabhadranagar,0.00041153911466116505
Depot 22,0.0004105272234174013
Golden Enclave,0.00040859469101673675
BM English School Ulsoor,0.0004060907725355928
St.John`s Wood Apartment,0.00040602615862947553
HDFC BANK,0.0004058935906060179
Chinnaiahna Palya,0.0004056603793960688
Devasandra Chikkamaranahalli,0.00040446988354808373
Guruvanahalli,0.0004036329025774669
Madappanahalli,0.00040237977247084035
Hulimangala,0.0004019264910645722
Sonnenahalli Bridge,0.00039997419743757116
Hoysala Circle Kengeri Satellite Town,0.00039827536698619677
Tippasandra,0.00039750112007115514
Tattanur,0.0003968624061784649
Avarehalli,0.0003968624061784649
Tavarekere Magadi Road,0.0003968624061784649
Anchipura Colony,0.0003968624061784649
Byramangala,0.0003968624061784649
Ravogodlu,0.0003968624061784649
Bangalore University ADM Block,0.0003968624061784649
Madapatna,0.0003968624061784649
Adigondana Halli,0.0003968624061784649
Sulikere,0.0003968624061784649
Ujappana Doddi,0.0003968624061784649
Bettadasanapura,0.0003968624061784649
Thunga Nagara,0.0003968624061784649
Seegehalli,0.0003968624061784649
